;;;→Unit;kJ/100g;kJ/100g;kcal/100 g;kcal/100 g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;RE (µg/100g);µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;alfa-TE;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;mg/100g;NE;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;µg/100g;mg/100g;µg/100g;mg/100g;µg/100g;µg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;mg/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;mg/100g;g/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;%;No Unit;No Unit;g/ml;No Unit;;;
Dressing, italiensk;Salad dressing, Italian;1046;1046;1233;1239;299;300;0,4;0,3;0,4;10,4;10,4;10,8;0,0;28,4;0,0;4,1;4,4;43,6;56,4;3,5;0,0;21,0;;0,00;0,00;;;;5,00;5,00;;40,00;;;0,00;;;;;;;;;0,0;0,01;;0,02;0,09;0,00;0,06;0,00;;0;;0,00;0,00;0,00;;1654,0;48,0;7,0;3,0;;0,6;;0,1;;;;;2,0;;;;9;;;;0,10;;;;;;;;1722;;;;10,25;;;;0,53;;10,78;;;;;0,00;;;;;;0,20;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,00;;2,95;;1,06;;;;;;;;;0,06;;;6,50;;;0,06;;0,00;;;;;;;;14,54;;1,95;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;4,01;6,62;16,49;;;27,12;1,95;14,54;0;0,06;22;32;26;10;7;16;16;21;5;23;26;9;19;32;47;12;16;32;;;165;206;;;2,6;;;;;;;;0,0;6,25;0,956;;;98;Dressings;Dressings
Makrel, røget;Mackerel, smoked;1220;1220;1243;1243;300;300;18,0;15,0;18,0;0,0;0,0;0,0;0,0;25,3;0,0;1,4;2,4;45,8;54,2;49,5;49,5;0,0;;6,06;6,06;;0,00;;0,54;0,54;;;;;0,00;;;;;;;;;0,0;0,13;;0,30;10,74;7,45;0,40;0,50;5,30;8;3;10,55;0,18;0,18;;577,0;259,5;17,5;26,1;;0,9;0,1;0,5;0,0;5,9;;;42,0;;;;172;;1000,00;;18,00;;0,73;3,91;142,88;0,45;0,22;;2053;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;;0,00;0,00;0,00;;;;;;;;;;;;;;;;;0,00;0,00;0,00;;1,84;0,14;3,10;;0,56;0,00;;0,00;;0,00;;;;0,82;;0,45;2,34;;2,29;;;0,25;3,57;0,24;;;;;;0,49;;0,44;;1,35;0,00;;0,00;0,26;0,03;1,63;;;;;0,27;;2,74;;;0,63;5,64;9,95;7,20;;;23,43;6,69;0,51;80;2,99;927;1406;1645;538;147;748;658;808;197;1107;1077;867;1107;1765;2213;867;628;748;;;8243;9209;1,800;;89;2,494;1,659;0,2;14,1;0;0;20,253;20,0;6,25;0,925;;;79;Fiskeprodukter;Fish products
Grønkål, konserves;Kale, canned;957;957;123;123;30;30;2,2;1,6;2,2;5,0;1,4;1,4;3,5;0,9;0,0;0,6;1,5;9,6;90,4;740,0;0,0;4440,0;;0,00;0,00;;;;2,80;2,80;;;;;;;;;;;;;;;0,02;;0,05;0,99;0,40;;;;;;0,00;;;;252,0;;110,0;;;2,8;;;;;;;;;;;;;;;1,30;;;;;;;;365;;;;;;;;;;;0,00;0,00;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;0,12;;;;;;;;;;;0,03;;;;;;;;;;;;;;;;0,15;;0,42;;;;;;;0,00;;;;;;;;;;;;0,12;0,03;0,58;;;0,72;0,42;0,15;0;0,35;99;169;106;34;7;109;74;95;35;134;106;46;92;204;264;109;134;102;;;826;1092;;;0,4;;;;;;;;0,0;6,25;0,800;;;46;Grøntsagskonserves;Canned vegetable products
Honningmelon, rå;Melon, honeydew, raw;1857;1857;143;126;34;30;0,2;0,2;0,2;8,6;7,9;7,0;0,7;0,0;0,0;0,1;0,5;9,2;90,8;1,9;0,0;11,2;;0,00;;;;;0,03;0,03;0,00;0,00;0,00;;0,00;;;;;;;;;0,0;0,01;;0,01;0,19;0,19;0,04;0,05;0,61;19;;;14,42;;;24,1;235,0;7,2;10,3;;0,1;0,0;0,1;0,0;0,0;0,4;;0,0;;;;12;;;;2,88;;;;;;;;289;2,93;;2,90;5,83;0,00;0,00;1,14;1,14;;6,96;;;;;0,00;;;0,50;0,15;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,03;0;6;9;0;5;0;0;12;0;7;15;0;25;57;103;0;3;18;0;0;34;226;;;7,6;;;;;;;;46,9;6,25;;;;52;Sydfrugt;Tropical or subtropical fruit
Løg, hakkede, dybfrost;Onions, chopped, frozen;424;424;117;128;28;30;0,8;0,5;0,8;6,8;5,0;5,7;1,8;0,1;0,0;0,0;0,3;8,0;92,0;4,0;0,0;24,0;;0,00;0,00;;;;0,06;0,06;;;;;;;;;;;;;;;0,03;;0,03;0,31;0,15;0,08;0,10;;17;;0,00;3,30;3,30;;12,0;124,0;17,0;7,0;;0,3;0,0;0,1;0,1;;;;0,1;;;;22;;;;0,15;;;;;;;;182;;;;;;;;;;5,70;0,00;0,00;;;0,00;;;;;;0,47;0,80;;;;;0,00;;;;0,00;;;;;;;;;0,03;;;;;;;;;;;;;;0,01;;;;;;;;;;;;;0,04;;0,01;;;;;;;0,00;;;;;;;;;;;;0,03;0,01;0,04;;;0,08;0,01;0,04;0;0,13;15;26;25;6;5;18;9;14;10;19;107;9;18;47;166;16;11;14;;;269;746;;;5,5;;;;;;;;0,0;6,25;0,800;;;39;Rod- og knoldgrøntsager;Root and tuber vegetables
Gulerodsjuice;Carrot juice;1868;1868;129;126;31;30;0,5;;0,5;7,2;6,4;6,2;0,8;0,2;0,0;0,1;0,6;8,4;91,6;221,7;0,0;1330,0;;0,00;;;;;1,16;1,16;;;;;15,50;;;;;;;;;15,5;0,09;;0,06;1,01;1,01;0,22;0,21;2,80;4;;0,00;8,50;;;46,5;205,0;15,3;7,4;;0,2;0,1;0,1;0,1;;;;0,6;;;;26;;;;0,38;;;;;;;;300;1,47;0,00;1,61;3,08;0,00;0,00;3,08;3,08;;6,16;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,09;;;;;;;;;;;;;;;;;;;;;;;;;9,9;;;;;;;;0,0;6,25;;1,029;4,2;45;Grøntsagsjuice;Vegetable juices
Rødkål, konserves;Cabbage, red, canned;629;629;318;128;75;30;1,0;0,6;1,0;18,4;16,3;5,1;2,1;0,2;0,0;0,8;1,1;20,7;79,3;4,2;0,0;25,0;;0,00;0,00;;;;0,07;0,07;;;;;149,00;;;;;;;;;149,0;0,07;;0,05;0,73;0,60;0,11;0,32;0,10;35;23;0,00;20,00;20,00;;300,0;100,0;39,3;6,0;;0,8;0,0;0,6;0,1;2,0;10,0;;0,3;;;;29;;;;0,10;;3,00;;;;;;475;;;;;;;;;;5,00;5,00;5,00;;;0,10;;;;;;;;;;;;;;;;;;;;;;;;;0,04;;0,00;;;;;;;;;0,00;;;0,01;;;;;;;;;;;;;0,08;;0,03;;;;;;;0,00;;;;;;;;;;;;0,04;0,01;0,11;;;0,16;0,03;0,08;0;0,16;27;30;30;8;1;18;12;12;8;45;42;16;50;85;238;21;37;50;;;312;856;;;21,4;;;;;;;;0,0;6,25;0,800;;;46;Grøntsagskonserves;Canned vegetable products
Koncentreret læskedrik, tilsat kunstig sødestof, fortyndes 1+11;Concentrated soft drink, not carbonated, artificial sweetener added, dilution 1+11;1902;1902;4;13;1;3;0,2;;0,2;;;0,5;0,0;0,0;0,0;0,2;0,3;3,6;96,4;31,8;0,0;191,0;;0,00;;;;;0,00;0,00;;;;;0,00;;;;;;;;;0,00;0,00;;0,00;0,02;0,02;0,00;0,00;0,06;1;;0,00;50,42;49,89;0,53;85,6;27,0;6,0;1,1;;0,0;0,0;0,0;0,0;0,0;;;1,0;;;;1;;;;0,33;;0,00;;;;;;121;0,28;0,00;0,22;0,50;0,00;0,00;0,05;0,05;;0,55;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,04;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,0;6,25;;1,011;2,7;106;Andre drikkevarer;Other beverages
Sodavand, tilsat sukker og kunstig sødestof;Soft drink, sugar and artificial sweetener added;1891;1891;19;14;5;3;0,0;;0,0;1,1;1,1;0,8;0,0;0,0;0,0;0,1;0,0;1,1;98,9;4,0;0,0;23,9;;0,00;;;;;0,00;0,00;;;;;0,00;;;;;;;;;0,00;0,00;;0,00;0,01;0,01;0,00;0,00;0,03;0;;0,00;8,06;7,70;0,36;20,6;3,8;8,5;1,9;;0,0;0,0;0,0;0,0;;;;0,0;;;;0;;;;1,48;;;;;;;;35;0,00;0,00;0,84;0,84;0,00;0,00;0,00;0,00;;0,84;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,0;6,25;;1,002;3,9;111;Vand og mineralvand;Water and carbonated drinks
Grisekød, bryst med svær, rå;Pork, thin belly with rind, raw;1687;1687;1240;1240;299;299;17,2;;17,2;0,0;0,0;0,0;0,0;25,6;0,0;0,2;0,8;43,6;56,4;9,5;9,5;;;0,77;;;;;0,41;0,41;;;;;;;;;;;;;;;0,63;;0,12;5,49;5,49;0,29;;;5;;0,85;0,00;0,00;;60,5;291,7;6,1;18,2;;0,4;;1,3;;;;;7,2;;;;160;;;;0,90;;;;;;;;537;;;;;;;;;;0,00;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,67;9,20;2,48;;;23,59;0,28;1,98;70;2,76;;;;;;;;;;;;;;;;;;;;;;;;;59,7;;;;;;;;0,0;6,25;0,920;;;60;Grisekød (Svinekød);Pork
Tang, agar, tørret;Seaweed, agar, dried;372;372;1268;1268;299;299;2,3;;2,3;74,3;69,3;69,3;5,0;0,3;0,0;0,0;3,2;80,1;19,9;0,0;0,0;0,0;;0,00;0,00;;;;;;;;;;;;;;;;;;;;0,00;;0,00;0,00;0,00;;;;;;;0,00;0,00;;4,0;29,0;690,0;;;9,0;0,5;1,0;;;;;0,0;;;;14;;;;36000,00;;200,00;1,00;5000,00;50,00;25,00;;746;;;;;;;;;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,24;;;0;0,37;;;;;;;;;;;;;;;;;;;;;;;;;63,3;;;;;;;;0,0;6,25;0,800;;;187;Tang og tangprodukter;Seaweed and seaweed products
Speltmel, fuldkorn;Spelt wheat flour, whole;1723;1723;1402;1261;332;299;13,4;12,1;14,4;72,2;57,0;47,7;15,3;2,3;0,0;0,0;1,6;89,5;10,5;0,0;0,0;;;0,00;0,00;0,00;0,00;0,00;0,63;0,63;0,00;0,00;0,00;;3,01;;;;;;;;;3,0;0,36;;0,09;3,13;0,82;0,24;0,59;6,60;67;;0,00;;;;1,3;395,0;27,5;120,0;;3,8;0,5;3,1;2,3;0,0;81,5;;6,8;;;;395;;;;0,00;;15,00;0,00;0,00;4,50;0,00;;943;0,30;0,00;0,20;0,50;0,00;0,25;0,65;0,90;;1,40;;;;;46,32;;;10,25;1,95;3,05;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,83;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;0,00;;0,00;0,00;0,00;0,00;;;0,00;0,32;0,25;0,83;0,00;;1,40;0,00;0,83;;2,30;489;978;405;236;316;680;392;428;188;623;655;342;506;720;4340;572;1490;688;0;;4369;9679;;;31,2;;;;;;;;0,0;5,83;0,620;0,670;;30;Mel og klid;Flour and bran
Sandwich med skinke og ost, toasted, fastfood (Parisertoast);Sandwich with ham and cheese, toasted, fast food;1138;1138;1248;1248;298;298;11,0;;11,0;34,5;32,8;32,8;1,7;13,2;0,0;1,9;2,8;61,5;38,5;44,5;;;;0,70;;;;;0,60;;;;;;;;;;;;;;;;0,19;;0,11;0,64;0,64;0,00;;;23;;0,39;1,70;;;740,3;143,2;135,8;21,9;;0,7;0,1;1,4;0,3;;;;5,8;;;;221;;1022,50;;11,10;;;;;;;;2285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,14;0,07;0,02;0,11;0,14;;0,41;0,02;2,19;0,00;0,81;0,05;;0,08;;0,00;;0,00;;0,11;0,00;0,27;4,73;;0,00;0,10;;0,03;0,00;0,00;;0,00;0,16;0,00;0,00;2,10;0,00;0,59;0,01;0,00;0,00;;;0,00;0,00;0,00;;;;;0,00;;0,00;0,04;;0,00;4,04;5,24;2,70;0,20;;12,19;0,59;2,11;;1,76;;;;;;;;;;;;;;;;;;;;;;;;;35,1;;;;;;;;0,0;6,25;0,920;;;131;Sandwich, burger, hotdog, pita o.l.;Sandwich, burger, hotdog etc.
Feta, 50+;Cheese, semihard, Feta, 50 % fidm;1243;1243;1257;1229;303;297;17,8;15,7;17,4;1,4;1,4;0,2;0,0;25,1;0,0;2,6;4,7;49,1;50,9;232,5;214,0;111,0;;0,26;0,26;;;;0,64;0,64;;;;;1,92;5,91;0,29;0,77;0,83;5,91;15,55;0,5;20,3;22,2;0,05;;0,45;5,89;1,80;0,25;1,36;1,50;62;;1,13;0,00;0,00;;1056,7;187,0;219,7;20,0;;0,2;0,1;2,4;0,1;0,3;6,0;;5,9;;;;224;;;;10,44;;1,36;0,06;1,00;0,01;0,45;;1708;;;;;0,16;;;0,16;;0,16;0,00;0,00;;;0,00;;;;;;;;;;;;;;;;;0,86;0,55;0,36;0,79;0,98;;2,78;;7,42;;2,54;;;;;;;0,36;;0,55;;;5,58;;;0,29;;;;;;;;;;0,52;;0,19;;;;;;;;;;;;;;;;;;;16,27;6,78;0,71;;;23,76;0,19;0,52;83;2,79;977;1646;1423;502;64;921;977;614;246;1200;558;502;558;1256;3488;363;1869;1004;;;8030;10136;0,600;0;15,4;;;;;;;0,6;0,0;6,38;0,945;;;15;Halvfast løbeost;Semi-firm rennet cheese
Salat, mayonnaise-, italiensk;Italian mayonnaise salad;1072;1072;1266;1219;307;296;1,9;;1,9;8,8;7,2;4,4;1,6;29,7;0,0;0,9;1,2;41,6;58,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;372,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;372;;;;;;;;;;4,30;;;;;0,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,22;;;;0,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;6,25;0,950;;;130;Fede salater;Fatty salads
Theboller o.l. (bløddejsboller);Rolls, sweet dough type;1334;1334;1250;1250;296;296;9,1;7,9;9,8;51,7;48,7;48,1;3,0;6,6;0,0;0,8;1,3;68,7;31,3;;;;;;;;;;;;;;;;;;;;;;;;;;0,18;;0,08;1,56;;0,07;;;43;;;;;;322,4;141,2;50,6;24,5;;1,1;0,1;0,8;;;;;5,7;;;;105;;534,17;;16,40;;;;;;;;1179;;;;;;;;;;;;;;;44,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,38;;;;;5,25;;;;1,56;390;671;218;145;172;468;218;265;94;452;359;203;296;437;2870;374;1030;468;;;2531;5400;;;8,1;;;;;;;;0,0;5,83;0,800;;;31;Brød;Bread
Hvedemel;Wheat flour;1301;1301;1454;1247;343;295;9,7;9,4;10,6;75,6;69,7;56,5;6,0;1,5;0,0;0,0;0,5;87,4;12,6;0,0;0,0;;;0,00;0,00;0,00;0,00;0,00;0,43;0,43;0,00;0,00;0,00;0,1;0,00;;;;;;;;;0,0;0,16;;0,03;2,15;0,37;0,07;0,35;2,27;31;;0,00;0,00;0,00;;0,0;154,7;17,6;25,4;170,0;1,2;0,1;0,9;0,7;0,0;26,8;2;4,2;0,70;2,00;50,00;115;20,0;;1500,00;1,43;;3,70;0,00;0,00;3,17;1,25;;314;0,00;0,00;0,00;0,00;0,00;0,80;0,33;1,13;;1,13;0,00;0,00;;;55,42;0,57;0,00;1,95;1,05;2,98;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,85;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;0,00;;0,00;0,00;0,00;0,00;;;0,00;0,38;0,00;0,85;0,00;;1,24;0,00;0,85;0;1,70;368;753;248;169;238;538;310;296;129;448;418;234;330;464;3715;401;1265;532;0;;3182;7672;;0;10,4;;;;;;;0;0,0;5,7;0,800;0,670;;30;Mel og klid;Flour and bran
Kebabmix med pommes frites, friturestegt, fastfood;Kebab mix and french fries, deepfried, fast food;1643;1643;1227;1226;294;294;8,9;;8,9;26,6;23,4;23,4;3,2;17,6;0,0;1,4;2,4;55,6;44,4;;;;;;;;;;;;;;;;;;;;;;;;;;0,11;;0,09;;;;;;;;;;;;545,0;471,8;16,7;26,5;;1,5;0,1;2,1;0,2;;;;;;;;154;;770,50;;;;;;;;;;1986;;;;;;;;;;0,20;;;;;23,20;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,01;;0,19;0,00;3,25;0,00;0,96;0,02;;0,00;;0,00;;0,00;;0,17;0,00;0,32;6,96;;0,00;0,10;;0,00;0,00;0,00;;0,00;0,10;0,00;0,00;2,66;0,00;0,62;0,02;0,00;0,00;;;0,00;0,00;0,00;;;;;0,00;;0,00;0,04;;0,00;4,43;7,55;3,30;0,14;;15,43;0,62;2,68;;1,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;6,25;0,876;;;127;Andre sammensatte fødevarer;Other composite foods
Bitter, jägermeister;Bitter, Jägermeister;416;416;1224;1224;294;294;0,0;;0,0;14,0;14,0;14,0;0,0;0,0;34,0;0,0;2,0;50,0;50,0;0,0;0,0;0,0;;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,0;0,00;;;;;;;;;0,0;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0,00;0,00;0,00;0,00;0,0;;;;;;0,0;0,0;;;;;;;;;;;;;;;;;;0,16;3,40;;0;;;;;;;;;;14,00;14,00;14,00;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0,0;6,25;0,800;;;116;Spiritus;Spirits
Grisekød, kogestykke af bryst med svær, rå;Pork, thin belly with rind, raw;1124;1124;1218;1218;294;294;16,3;13,1;16,3;0,0;0,0;0,0;0,0;25,4;0,0;0,2;0,8;42,5;57,5;8,9;8,9;0,0;;0,44;0,17;;0,11;;0,34;0,34;;;;;0,00;;;;;;;;;0,0;0,55;;0,13;7,54;4,52;0,22;0,56;4,51;5;;0,84;0,00;0,00;;60,5;238,9;6,0;15,0;;0,5;0,1;1,5;0,0;5,3;0,0;;6,9;;;;144;;;;0,90;;2,50;0,13;2,00;1,90;5,60;;465;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;0,03;0,03;;0,39;;5,82;;3,00;0,05;;;;;;;;0,68;;1,00;9,21;;;0,17;;;;;;;0,11;;;2,32;;0,26;;;;;;;;;;;;;;;;;;0,34;9,32;11,06;2,58;0,11;;23,41;0,26;2,32;71;2,67;800;1200;1467;400;109;613;560;693;181;880;987;613;987;1467;2160;853;667;640;;;6848;8429;;;59,7;;;;;;;;5,0;6,25;0,920;;;60;Grisekød (Svinekød);Pork
Linser, beluga, tørrede, rå;Lentils, beluga, dried, raw;1805;1805;1298;1228;309;292;22,5;20,2;26,1;62,4;38,1;30,5;24,3;2,0;0,0;0,0;2,2;89,1;10,9;11,0;0,0;66,1;;0,00;;;;;0,87;0,87;0,00;6,01;0,00;;13,45;;;;;;;;;13,5;0,48;;1,61;5,54;1,97;0,39;1,34;22,50;164;;;6,65;;;1,6;915,0;53,0;102,0;;5,8;0,9;3,7;1,3;0,0;250,0;;63,0;;;;330;;;;0,00;;295,00;0,00;0,80;0,45;0,65;;1407;0,00;0,00;0,85;0,85;0,00;0,00;0,70;0,70;;1,55;;;;;28,90;;;15,31;3,05;5,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,18;1050;1865;1775;195;268;1230;750;918;214;1185;2110;673;1035;2820;4045;1003;971;1285;0;81;9105;14287;;;96,4;;;;;;;;0,0;5,4;;;;173;Tørrede bælgplanter;Dried pulses
Karry, pulver;Curry powder;657;657;1243;1198;303;292;12,7;;12,7;58,4;5,4;2,8;53,0;13,8;0,0;0,1;5,6;90,5;9,5;99,0;0,0;594,0;;0,00;0,00;;;;21,99;21,99;;;;;;;;;;;;;;;0,25;;0,28;3,47;3,47;1,15;;;154;;0,00;11,40;11,40;;52,0;1543,0;478,0;254,0;;29,6;1,0;4,1;;;;;17,1;;;;349;;;;0,50;;;;;;;;2706;;;;;;;;;;2,80;0,00;0,00;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,60;8,80;3,10;;;11,05;0,26;2,80;0;2,03;;;;;;;;;;;;;;;;;;;;;;;;;64,2;;;;;;;;0,0;6,25;0,800;;;120;Krydderier;Spices
Havarti, 30+;Cheese, semihard, Havarti, 30 % fidm.;108;108;1215;1215;291;291;30,1;26,5;29,5;0,1;0,1;0,7;0,0;18,5;0,0;1,7;4,4;54,4;45,6;170,5;157,0;81,0;;0,20;0,20;;;;0,47;0,47;;;;;0,00;;;;;;;;;0,0;0,06;;0,33;7,02;0,10;0,09;0,34;1,50;60;1;1,38;0,50;0,50;;689,0;71,5;788,0;32,4;;0,2;0,1;5,0;0,1;0,3;6,0;1;10,0;;;;590;;;;13,80;;1,36;0,06;1,00;0,01;0,45;;2171;;;;;0,00;;;;;;0,00;0,00;;;0,00;;;;;;;;0,67;0,64;;;;;;;1,31;0,63;0,40;0,26;0,58;0,72;;2,05;;5,47;;1,87;;;;;;;0,26;;0,40;;;4,11;;;0,21;;;;;;;;;;0,38;;0,14;;;;;;;;;;;;;;;;;;;11,98;4,98;0,52;;;17,48;0,14;0,38;61;4,72;1651;2784;2406;849;109;1557;1651;1038;415;2029;944;849;944;2123;5898;613;3161;1698;;;13578;17140;3,500;0;15,4;;;;;;;3,5;0,0;6,38;0,945;;;13;Fast løbeost;Firm rennet cheese
Pizza med tomat og ost, fastfood;Pizza with tomato and cheese, fast food;1646;1646;1338;1219;319;291;14,0;12,5;14,0;37,4;35,3;28,3;2,1;13,1;0,0;1,4;2,6;67,1;32,9;95,9;75,6;121,6;47,89;0,02;0,00;0,00;0,00;0,01;1,14;1,14;;;;;8,45;2,75;0,01;0,11;0,30;1,61;5,34;0,3;7,3;15,8;0,08;;0,13;3,37;0,47;0,05;0,20;3,43;18;;0,44;0,17;;;556,0;164,0;265,3;25,2;;0,6;0,1;1,5;0,3;0,0;15,8;;6,1;;;;219;;899,00;;19,38;;;;;;;;2129;0,91;;0,61;1,53;0,00;1,25;0,05;1,30;;2,83;;;;;25,44;;;1,23;0,85;0,00;;;;;;;;;;;;0,26;0,19;0,09;0,26;0,33;0,00;0,96;0,05;2,90;0,00;0,90;0,00;0,00;0,00;0,00;0,00;0,00;0,05;0,00;0,15;0,00;0,07;2,69;0,00;0,00;0,01;;0,00;0,00;0,00;0,00;0,00;0,13;0,00;0,00;1,31;0,00;0,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,04;0,00;0,20;5,94;2,98;1,53;0,17;0,00;10,81;0,22;1,31;27;2,24;600;1205;803;280;150;719;585;474;174;776;503;375;418;869;3865;351;1539;749;0;0;5405;9028;;;;;;;;;;;0,0;6,25;0,828;;;179;Pizza;Pizza
